_ArtworkIDpk,_ArtistIDpk,ART_TITLE,ARTIST_ MAKER _ AUTHOR,DATE_text,DETAILS_label,_ExhIDfk,Exhibition::EXHIBITION TITLE
49,509,"Methodically, The Kandorian Police Destroy Her EquipmentÉ",Situationist International,1965,"illustrated postcard.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
50,15,Sigma: A Tactical Blueprint,Alexander Trocchi,1965,broadside.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
51,300,Decline & Fall Of The ÒSpectacularÓ Commodity-Economy,King Mob,1965,pamphlet.Loans courtesy Derek Harris,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
52,29,Le Retour De La Colonne Durutti,Anon.,1966,"comic strip.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
53,29,La Retour De La Colonne Durutti,Anon.,1966,"comic strip, October 1966. Loans courtesy Derek Harris",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
54,571,Call Me Burroughs.,William S. Burroughs,1966,"New York: ESP-disk, LP record. First American release. Loans courtesy John Hansard Gallery, Southampton",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
55,443,La Survie Et Sa Fausse Contestation: Traite De Savoir-Vivre A LÕusage Des Jeunes Generations,Raoul Vaneigem,1968,"cartoon strip, May 1968.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
56,36,Vive La Revolution Passione,Asger Jorn,1968,"poster. Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
57,29,Une Jeunesse Que LÕavenir Inquite Trop Souvent,Anon.,1968,"poster, May 1968.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
58,300,Echo 1.,King Mob,1968,"magazine, April 1968. Loans courtesy Derek Harris",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
59,300,King Mob 3.,King Mob,1968,magazine.Loans courtesy Derek Harris,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
60,138,Le Situationnisme Ou La Nouvelle International,Eliane Brau,1968,"book, Debresse Collection RŽvolte.Loans courtesy Derek Harris",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
61,300,Magazine Supplement To King Mob Echo: Two Letters On Student Power,King Mob,1968,November 1968. Loans courtesy Derek Harris,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
62,300,SelfridgeÕs Leaflet,King Mob,1968,Private Collection,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
63,334,14 Pink Figures On Moving Sea Of Green,Malcolm McLaren,1969,oil on canvas. Slide reproductions of paintings by Malcolm McLaren; Loans courtesy of Barry Martin / Estate of Malcolm McLaren.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
64,334,Berries Ð 8 Yellowy Green Female Forms,Malcolm McLaren,1969,mixed media. Slide reproductions of paintings by Malcolm McLaren; Loans courtesy of Barry Martin / Estate of Malcolm McLaren.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
65,334,I Will Be So Bad,Malcolm McLaren,1969,oil on canvas. Slide reproductions of paintings by Malcolm McLaren; Loans courtesy of Barry Martin / Estate of Malcolm McLaren.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
66,334,"Leaves, Nature + Cuts",Malcolm McLaren,1969,mixed media. Slide reproductions of paintings by Malcolm McLaren; Loans courtesy of Barry Martin / Estate of Malcolm McLaren.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
67,334,Map Of British Isles With Yellow Star And Hole,Malcolm McLaren,1969,oil on canvas. Slide reproductions of paintings by Malcolm McLaren; Loans courtesy of Barry Martin / Estate of Malcolm McLaren.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
68,334,The Intangible Manipulation Of Our Minds,Malcolm McLaren,1969,mixed media. Slide reproductions of paintings by Malcolm McLaren; Loans courtesy of Barry Martin / Estate of Malcolm McLaren.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
69,334,Words Trapped In Brick Compartments With Prostrate Figures,Malcolm McLaren,1969,oil on canvas. Slide reproductions of paintings by Malcolm McLaren; Loans courtesy of Barry Martin / Estate of Malcolm McLaren.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
70,223,La Cgt Vous Baise En SilenceÉMoi Je Vous Baise Dans La Joie!,Internationale Situationniste,1969,"poster, May 1969.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
71,2,Steal This Book,Abbie Hoffman,1969,Grove Press/Pirate Editions. Loans courtesy Paul Gorman.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
72,29,Us Army Improvised Munitions Handbook,Anon.,1969,originally pub. 1969. Loans courtesy Paul Gorman.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
73,239,CainÕs Film,Jamie Wadhawan,1969,"a film about Alexander Trocchi. Directed by Jamie Wadhawan and featuring William S. Burroughs, Davy Graham and R.D. Laing and Feliks Topolski, film, 1969. Courtesy Contemporary Films, London /Produced by the School of Photography, Polytechnic of Central London.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
74,99,Connexions: Violence,Colin Ward,1970,magazine. Loans courtesy Derek Harris,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
75,185,Society Of The Spectacle,Guy Debord,1970,"book, Pirate Press.Loans courtesy Derek Harris",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
76,15,Helen And Desire,Alexander Trocchi,1970,"book, Olympia Press, 1970 Loans courtesy Paul Gorman.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
77,334,Let It Rock,Malcolm McLaren,1971,"price list,  Loans courtesy of Estate of Malcolm McLaren",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
78,185,La SociŽtŽ Du Spectacle,Guy Debord,1971,"book, Žditions champ libre, signed and dedicated to Michle BernsteinÕs father.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
79,29,"Malcolm Mclaren Inside Let It Rock,",Anon.,1972,"430 Kings Road, WorldÕs End, London, photograph, January 1972. Courtesy David Parkinson.  Loans courtesy Paul Gorman.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
80,29,You CanÕt Keep A Good Man Down,Anon.,1972,"Little Richard, LP cover, Union Pacific, 1972. Loans courtesy Paul Gorman.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
81,29,La SociŽtŽ Du Spectacle,Anon.,1973,"publicity brochure, October 1973.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
82,29,The Colt Album,Anon.,1973,magazine. Loans courtesy Paul Gorman.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
83,29,New Musical Express,Anon.,1974,"newspaper, April 6, 1974.  Loans courtesy Paul Gorman.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
84,29,Gallery International,Anon.,1976,"Vol 1 No 4, magazine, January 1976 Loans courtesy Paul Gorman.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
85,29,Parade,Anon.,1976,"Vol 2 No 10, magazine, September 1976.  Loans courtesy Paul Gorman.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
86,29,Street Life,Anon.,1976,newspaper. Loans courtesy Paul Gorman.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
87,496,Anarchy In The Uk Christmas Day,Sex Pistols,1977,"poster. Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.
",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
88,237,God Save The Queen,Jamie Reid,1977,"Sex Pistols flyer.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
89,185,In Girum Imus Nocte Et Consumimur Igni,Guy Debord,1978,"film, directed by Guy Debord. Courtesy of Alice Debord / Gaumont Video France, 2013",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
90,571,Nothing Here Now But The Recordings.,William S. Burroughs,1981,"London: Industrial Records, 1981, LP record. Compiled by Peter Christopherson and James Grauerholtz. Loans courtesy John Hansard Gallery, Southampton",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
91,237,Sex Pistols Fuck Forever,Jamie Reid,1987,"design Jamie Reid, t-shirt. Loans courtesy Paul Gorman.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
92,571,Ten Gauge City,William S. Burroughs,1988,"paint, spray paint and gunshots on wood panel.Loans courtesy October Gallery / Estate of William S. Burroughs",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
93,569,The Anarchist Cook Book,William Powell,1989,"book, Lyle Stuart Inc. Loans courtesy Paul Gorman.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
94,571,Break Through In Grey Room,William S. Burroughs,1989,"Brussels: Sub Rosa, LP record. Loans courtesy John Hansard Gallery, Southampton",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
95,0,Be Reasonable Demand The Impossible,Malcolm McLaren Ancien/Dead In England,1995,Shirt design. Loans courtesy Paul Gorman.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
96,29,Campaign Literature For Mayor Of London Bid.,Anon.,1999,Courtesy Paul Gorman (with thanks to Paul Burgess). Loans courtesy Paul Gorman.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
97,29,Peel & Lift ÔDriftÕ,Anon.,2004,t-shirt.  Loans courtesy Paul Gorman.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
98,334,Malcolm MclarenÕs Musical Map Of London,Malcolm McLaren,2007,"audio file, Produced by Just Radio Ltd. for BBC Radio 2. Courtesy Estate of Malcolm McLaren and Just Radio Ltd.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
99,334,Shallow 1-21,Malcolm McLaren,2007,film. Courtesy Estate of Malcolm McLaren,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
100,571,Three Allusive Tracks From Break Through In Grey Room.,William S. Burroughs,2009,"Brussels: Sub Rosa, 2009, 7Ó single record. Loans courtesy John Hansard Gallery, Southampton",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
101,334,Paris: Capital Of The Xxist Century,Malcolm McLaren,2010,film. Courtesy Estate of Malcolm McLaren.,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
102,0,Internationale Situationniste,Van Gennep ,1958-59,comic strip tri-fold leaflet.Loans courtesy Derek Harris,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
103,33,"Towers Open Fire, The Cut-Ups, Bill & Tony, William Buys A Parrot",Antony Balch,1962-72,"Film, directed by Antony Balch and featuring William S. Burroughs, Ian Sommerville, Brion Gysin and Antony Balch, © 1989 Genesis P-Orridge and Mystic Fire Video. All rights reserved.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
104,185,Society Of The Spectacle,Guy Debord,1973-2013,"film, directed by Guy Debord, originally released 1973. A new translation produced in 2013 by Light Industry, New York.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
105,509,Ten Days That Shook The University,Situationist International,1966 c.,booklet.Loans courtesy Derek Harris,2015_9_EYES_FOR,Eyes For Blowing Up Bridges
106,185,Comments On The Society Of The Spectacle Number 4,Guy Debord,n.d.,"booklet, Pirate Press.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
107,185,Guide Psychogeographique De Paris,Guy Debord,n.d.,"map.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
108,29,"If You Believe You Have Genius, Or If You Think You Have Only A Brilliant Intelligence Write The Letterist Internationale",Anon.,n.d.,"card.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
109,185,"Les Plus Joilies Filles De Paris Sont Ë La Methode Avec, Naturellement, Jean-Louis Winkopp",Guy Debord,n.d.,"flyer designed by Guy Debord to advertise Paris Bar ÒLa MethodeÓ, 2, Rue Descartes. Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
110,29,Internationale Situationniste,Anon.,n.d.,"Bulletin No.1.  Loans courtesy of ÔThe Situationist International: John McCready ArchiveÕ held at Liverpool, John Moores University. Curator and Research Consultant: Prof. Colin Fallows.",2015_9_EYES_FOR,Eyes For Blowing Up Bridges
